intendedUse	Fast assembly of ONT data									
Organism	Staphylococcus aureus									
source	George Bouras									
pmid	-									
dataType	toy dataset for ONT assembly and AMR									
Outbreak	-									
tree	-									
										
SRArun_acc	biosample_acc	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	
SRR22859991	SAMN32360857	-	-	-	-	02d46259b402e83c62b143e96e2dc6761f86b1ac9bd7dfccf9c27f60492afc85	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	C113	
-	SAMN32538168	GCA_027920385.1	-	-	-	-	-	-	C308	
SRR22859768	SAMN32360972	-	-	-	-	fe7b008a59b3aadfccbfe5f8325bf79e9933fe6d44e0956d68e74eba6230ad2f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	C347	
